rendimento,idade,dívida,inadimplencia
66155.9250950813,59.0170150669292,8106.53213128514,não deve
34415.1539658196,48.11715310486029,6564.745017677379,não deve
57317.1700630337,63.10804949188599,8020.953296386469,não deve
42709.534200839706,45.7519723521546,6103.642260140699,não deve
66952.68884534019,18.5843359269202,8770.09923520439,devendo
24904.0641402826,57.4716071025468,15.498598437827198,não deve
48430.3596126847,26.809132419060894,5722.58198121271,não deve
24500.1419843175,32.8975483207032,2971.00330971188,devendo
40654.8925372772,55.4968525394797,4755.8252798016,não deve
25075.872770976297,39.7763780555688,1409.23037111453,não deve
64131.4153722487,25.679575353860898,4351.0289707232505,não deve
59436.8471228518,60.4719358547591,9254.24453803174,não deve
61050.3460792825,26.3550438545644,5893.26465933928,não deve
27267.9954580963,61.576775823254096,4759.7875810455,não deve
63061.9601742364,39.2015528911725,1850.36937703064,não deve
50501.7266888171,40.80755937840458,3977.28743247384,não deve
43548.6547113396,39.5745303500444,3935.5444533423497,não deve
43378.1751943752,60.84831793932239,3277.7375531263,não deve
20542.365072760706,61.6905707078986,3157.442289970661,não deve
58887.3575488105,26.076093018055,4965.51606626419,não deve
23000.7840017788,31.761354170739697,1148.11805715996,não deve
32197.6207010448,40.80755937840458,4244.057136123401,não deve
23329.3194137514,48.5769745339639,222.622298697307,não deve
27845.8008938469,51.9706241027452,4959.92122589578,não deve
65301.9840293564,48.84092176985,5465.26788565462,não deve
47451.6301229596,27.031741308979697,5361.28271628474,não deve
63287.038907874405,40.80755937840458,9595.28628892989,não deve
45727.4598698132,55.83992184512321,6376.82294883561,não deve
59417.805406265,,2082.62593812344,não deve
58842.8913080133,54.51094756368551,10871.1867897838,não deve
48528.8527957164,,6155.78467025544,não deve
23526.3025551103,,2862.0101387461,não deve
67252.9006074183,38.1319074640051,4221.30315714475,não deve
58886.8512935005,38.6615042379126,7271.552032470579,não deve
57584.9737902172,36.672020919621,1728.4237547148,não deve
26289.9723066948,20.666778734419506,341.146965986397,não deve
25952.3814707063,58.185017302632296,2109.2007717368697,não deve
32464.091880247,50.2250059167854,4326.70507344396,não deve
60921.0631041788,18.840525757987105,968.836382674606,não deve
26578.5366925411,32.6760442531668,3489.84313638823,devendo
